,0
0,1372.0599999999995
1,2054.0539999999996
2,2506.049000000001
3,2532.0540000000005
4,2546.0560000000005
5,2834.052000000001
6,2895.051000000001
7,2916.055000000001
8,2978.053000000001
9,3067.045000000001
10,2315.0419999999995
11,2121.0419999999995
12,2343.0409999999997
13,2384.0389999999998
14,1988.0389999999998
15,1813.0369999999998
16,1636.0339999999997
17,1649.0339999999997
18,1265.0349999999994
19,1064.0359999999996
20,1091.0339999999997
21,1021.0339999999998
22,1208.0309999999997
23,1611.0279999999996
24,1597.0279999999998
25,1528.0309999999997
26,1730.0269999999998
27,1897.0269999999998
28,1890.023
29,2280.022
30,2457.0240000000003
31,3018.019
32,2609.018
33,2356.0209999999997
34,2363.015
35,2750.013
36,2731.013
37,2519.0119999999997
38,2727.011
39,2518.007
40,2323.007
41,2102.009
42,2089.0099999999998
43,2102.009
44,1699.0120000000002
45,1361.0079999999998
46,1166.0079999999998
47,1348.0099999999998
48,1192.007
49,979.0089999999998
50,997.0069999999998
51,1192.007
52,1387.0079999999998
53,1408.0069999999998
54,1634.0049999999999
55,1842.0049999999999
56,1842.0049999999999
57,2258.0029999999997
58,2032.0059999999999
59,2201.0099999999998
60,2417.0089999999996
61,2401.009
62,2791.009
63,2591.0110000000004
64,2596.01
65,2596.01
66,2804.009
67,2258.007
68,2461.007
69,2466.0060000000003
70,2453.007
71,2466.006
72,2258.007
73,2258.007
74,2253.008
75,2045.009
76,1863.0079999999998
77,2084.008
78,1694.0079999999998
79,1543.0049999999999
80,1166.004
81,1361.004
82,1166.004
83,1395.0049999999999
84,1616.003
85,1621.003
86,1608.004
87,2193.004
88,2219.002
89,2219.004
90,2409.005
91,2604.005
92,2609.004
93,2414.004
94,2219.004
95,2622.003
96,3025.0020000000004
97,2440.002
98,2817.003
99,3220.0020000000004
100,2812.004
101,2804.004
102,2609.004
103,2596.005
104,2570.007
105,2427.004
106,2193.007
107,2583.007
108,2180.009
109,1816.007
110,1634.0059999999999
111,1647.0059999999999
112,2019.0079999999998
113,2214.008
114,2214.008
115,2180.0099999999998
116,2375.0099999999998
117,2739.0119999999997
118,2752.011
119,2531.013
120,2947.011
121,2747.0119999999997
122,2370.0109999999995
123,2162.0119999999997
124,2175.0109999999995
125,2188.0099999999998
126,2383.0099999999998
127,1998.0089999999998
128,2388.009
129,2596.008
130,2375.0099999999998
131,2001.0099999999998
132,2157.013
133,2409.008
134,2422.0069999999996
135,2409.008
136,2427.006
137,2401.008
138,2414.0069999999996
139,2214.008
140,2024.0069999999998
141,2050.005
142,2427.006
143,2206.008
144,2045.0059999999999
145,2232.006
146,2232.006
147,2804.0069999999996
148,2604.008
149,2596.008
150,2804.0069999999996
151,2986.008
152,2999.007
153,2999.007
154,3025.005
155,3025.005
156,3233.004
157,2661.003
158,2648.004
159,2843.004
160,2661.003
161,2466.0029999999997
162,2461.004
163,2625.0069999999996
164,2448.005
165,2443.006
166,2422.0069999999996
167,2448.005
168,2279.0029999999997
169,2045.0059999999999
170,2076.0029999999997
171,2089.002
172,2102.001
173,1894.002
174,1699.002
175,1907.001
176,1894.002
177,2466.0029999999997
178,2466.0029999999997
179,2661.003
180,2856.003
181,2856.003
182,2856.003
183,2843.004
184,3051.0029999999997
185,2856.0029999999997
186,3046.004
187,2466.0029999999997
188,2661.0029999999997
189,3077.001
190,3051.003
191,3051.003
192,2856.003
193,2661.003
194,2648.004
195,2635.005
196,2440.005
197,2440.005
198,2245.005
199,2024.0069999999998
200,1673.004
201,1478.004
202,1491.003
203,1465.0049999999999
204,1283.004
205,1270.0049999999999
206,1257.0059999999999
207,2050.005
208,2050.005
209,2024.007
210,2414.007
211,2427.006
212,2609.007
213,2830.005
214,2817.0060000000003
215,2804.0069999999996
216,3012.006
217,2427.006
218,2622.005
219,2791.0069999999996
220,2804.006
221,3012.005
222,2973.0080000000003
223,2778.0080000000003
224,2765.008
225,2778.007
226,2557.0089999999996
227,2531.011
228,2349.008
229,2154.008
230,1777.0069999999998
231,1556.0089999999998
232,1569.0069999999998
233,1530.0099999999998
234,1543.009
235,1556.008
236,1556.008
237,1972.0059999999999
238,1959.0069999999998
239,1985.0049999999999
240,2370.006
241,2347.009
242,2339.0069999999996
243,2326.008
244,2318.008
245,2323.006
246,2505.006
247,2128.005
248,2323.005
249,2505.006
250,2518.005
251,2518.005
252,2713.005
253,2713.005
254,2921.0040000000004
255,2908.005
256,2713.005
257,2687.006
258,2440.0099999999998
259,2245.0099999999998
260,1868.0079999999998
261,1881.0069999999998
262,2089.006
263,2076.0069999999996
264,2063.008
265,1868.0079999999998
266,1842.009
267,2427.009
268,2427.009
269,2427.009
270,2817.0089999999996
271,2804.0089999999996
272,2453.0060000000003
273,2284.004
274,2284.004
275,2297.003
276,2297.003
277,1686.005
278,1894.004
279,2089.004
280,2076.005
281,1889.005
282,1858.0059999999999
283,2014.009
284,2409.008
285,2565.0099999999998
286,2573.01
287,2591.008
288,2401.007
289,2414.006
290,2024.0059999999999
291,1647.0049999999999
292,1621.0059999999999
293,1608.007
294,1400.007
295,1413.0059999999999
296,1608.0059999999999
297,2167.008
298,2193.006
299,2180.007
300,2375.007
301,2375.007
302,2180.007
303,1985.0069999999998
304,1998.0059999999999
305,2011.0049999999999
306,1811.0059999999999
307,1408.0059999999999
308,1603.0059999999999
309,1595.0059999999999
310,1582.0059999999999
311,1582.0059999999999
312,1790.0049999999999
313,1998.003
314,2154.005
315,2154.005
316,2167.004
317,2154.005
318,1933.0059999999999
319,1933.0059999999999
320,1530.007
321,1530.007
322,1525.0079999999998
323,1530.007
324,1322.007
